trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
bubbelgum		klapkauwgom	6. consumptie	snoep+nagerecht	zelfstandig naamwoord		1984	GVD	leen	Engels			CW 2001
bubo		klierzwelling in de lies			zelfstandig naamwoord		1636		leen	Latijn			EWB2
bucentaur		galei			zelfstandig naamwoord		1886		leen	Italiaans			EWB2
Bucephalus		paard van Alexander de Grote			zelfstandig naamwoord		1824		leen	Latijn			EWB2
bucket		basketbalterm			zelfstandig naamwoord		1984		leen	Engels			EWB2
buckram		boekbinderslinnen	17. letterkunde	uitgeven	zelfstandig naamwoord		1948	KWT	leen	Engels			CW 2001
bucolisch		m.b.t. land- en herdersleven	17. letterkunde	poëzie	bijvoeglijk naamwoord		1824	WEI	leen	Latijn			CW 2001
buddleja		vlinderstruik			zelfstandig naamwoord		1847		leen	Latijn			EWB2
buddy		vrijwilliger die aidspatiënt helpt	19. wetenschap	medisch	zelfstandig naamwoord	persoonsaanduiding	1987	De Coster 1999	leen	Engels			CW 2001
buddyseat		tweepersoons motorzadel	10. voortbewegen	voertuigonderdelen	zelfstandig naamwoord		1959	WP jaarboek 1959	leen	Engels			CW 2001
budget		begroting	12. handel		zelfstandig naamwoord		1816	WNT	leen	Engels			CW 2001
budgetteren					werkwoord				leen	Engels	to budget of Frans budgéter		Leenwoordenboek 2005
budo		het geheel van Japanse vechtsporten	22. sport+spel	buitensport	zelfstandig naamwoord		1959	Picarta: titel van ts.	leen	Japans			CW 2001
buff		bruingeel hoen			zelfstandig naamwoord		1970		leen	Engels			EWB2
buffel		herkauwer	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1287	CG NatBl	leen	Frans			CW 2001
buffelen		gulzig eten	6. consumptie		werkwoord		1858-1870	WNT	leen	Duits			CW 2001
buffer		stootkussen	10. voortbewegen	voertuigonderdelen	zelfstandig naamwoord		1875	WNT	leen	Engels			CW 2001
buffet		schenktafel, tapkast	9. sociale leven	meubels	zelfstandig naamwoord		1343-1346	MNW	leen	Frans			CW 2001
buffo		basstem voor komische rollen	18. muziek	zangstem	zelfstandig naamwoord		1847	KKU	leen	Italiaans			CW 2001
bug	a	afluisterapparaat; fout	21. communicatie	toestellen	zelfstandig naamwoord		1984	GVD	leen	Engels			CW 2001
bugel		blaasinstrument	18. muziek	instrumenten	zelfstandig naamwoord		1912	KKU	leen	Engels			CW 2001
buggerie					zelfstandig naamwoord				leen	Engels	buggery		Leenwoordenboek 2005
buggy		opvouwbare kinderwagen	10. voortbewegen	transportmiddel	zelfstandig naamwoord		1984	GVD	leen	Engels		huidige bet	CW 2001
bühne		toneel	16. kunst	toneelgenre	zelfstandig naamwoord		1912	KKU	leen	Duits			CW 2001
building		groot gebouw			zelfstandig naamwoord		1984		leen	Engels			EWB2
buis	3	leiding	16. kunst	bouwkunst	zelfstandig naamwoord		1350-1385	MNW	leen	Frans			CW 2001
buitenland					zelfstandig naamwoord				leen	Duits	Ausland		Leenwoordenboek 2005
buitenvrouw		elders wonende bijzit	4. mensenwereld	familie	zelfstandig naamwoord	persoonsaanduiding	1971	Van Donselaar 1989	leen	Surinaams-Nederlands			CW 2001
buizerd		roofvogel	3. dierenrijk	vogels	zelfstandig naamwoord	dieraanduiding wild	1567	Claes	leen	Frans			CW 2001
buks	1	kort geweer	14. leger	wapens	zelfstandig naamwoord		1772	Chr. de Beet, Eerste Bonni-oorlog 137	leen	Duits			CW 2001
buks, buksboom	2	heester	2. plantenrijk	planten	zelfstandig naamwoord		1350	Claes	leen	Duits			CW 2001
bukskin		sterke stof			zelfstandig naamwoord		1872		leen	Engels			EWB2
bul	3	oorkonde	9. sociale leven	onderwijs	zelfstandig naamwoord		1450	MNW	leen	Latijn			CW 2001
