trefwoord	homon	bettr	thema	subthema1	POS	hulpthema	jaarrek	bronboek	status	geleend_uit	leenvorm	opmerking	bron
multiple choice					zelfstandig naamwoord				leen	Engels	multiple choice		Leenwoordenboek 2005
multiple sclerose		verlammingsziekte	19. wetenschap	kwalen	zelfstandig naamwoord		1976	WP	leen	Engels			CW 2001
multiplex	a	plaatmateriaal uit meerdere lagen	16. kunst	bouwkunst	zelfstandig naamwoord		1924	GVD	leen	Latijn			CW 2001
multiplex	b	groot bioscoopcomplex	16. kunst	acteren	zelfstandig naamwoord	gebouw	1994	De Coster 1999	leen	Engels			CW 2001
multiplicatie		vermenigvuldiging			zelfstandig naamwoord		1445		leen	Frans			EWB2
mummie		gebalsemd lijk	4. mensenwereld	dood	zelfstandig naamwoord		1567	Junius 122a	leen	Frans			CW 2001
mummificatie		het tot mummie maken	4. mensenwereld	dood	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
mummy					zelfstandig naamwoord				leen	Engels			K. Franco e.a. (2018), 'Let’s Agree to Disagree. (Variation in) the Assignment of Gender to Nominal Anglicisms in Dutch', in: Journal of Germanic Linguistics 30.1
mundaan		werelds			bijvoeglijk naamwoord		1908		leen	Latijn			EWB2
mundiaal		wereld-			bijvoeglijk naamwoord		1976		leen	Latijn			EWB2
mundium		voogdij, protectie van het gezinshoofd, van beschermheer			zelfstandig naamwoord		1901		leen	Latijn			EWB2
mungboon		boon uit de spruiten waarvan taugé wordt gemaakt			zelfstandig naamwoord		1992		leen	Engels			EWB2
mungo	2	soort civetkat			zelfstandig naamwoord		1847		leen	Latijn			EWB2
municipaal		gemeentelijk			bijvoeglijk naamwoord		1669		leen	Frans			EWB2
munificentie		milddadigheid			zelfstandig naamwoord		1669		leen	Frans			EWB2
munitie		schietvoorraad	14. leger	wapens	zelfstandig naamwoord		1551	WNT	leen	Frans			CW 2001
munster		domkerk	8. religie		zelfstandig naamwoord	gebouw	1153	Künzel	leen	Latijn			CW 2001
munt	1	geldstuk; plant	12. handel	muntnamen	zelfstandig naamwoord		1240-1260	CG I1, 69	leen	Latijn			CW 2001
munter					zelfstandig naamwoord				leen	Latijn	monetarius		Leenwoordenboek 2005
muntjak		herkauwer	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1914	GVD	leen	Latijn			CW 2001
muraal		m.b.t. de wand			bijvoeglijk naamwoord		1984		leen	Frans			EWB2
murene		moeraal			zelfstandig naamwoord		1514		leen	Frans			EWB2
murmelen		binnensmonds zeggen	21. communicatie	mondeling	werkwoord		1542	Claes Tw. 12	leen	Latijn		leen niet erf ; huidige bet. ouder: WPs morren	CW 2001
murmureren		morren			werkwoord		1287		leen	Frans			EWB2
mus		zangvogel	3. dierenrijk	vogels	zelfstandig naamwoord	dieraanduiding wild	0901-1000	WPs	leen	Latijn			CW 2001
muscardine		schimmelziekte van de zijdeworm			zelfstandig naamwoord		1912		leen	Frans			EWB2
muscarine		alkaloïde uit de vliegenzwam			zelfstandig naamwoord		1872		leen	Duits			EWB2
muschelkalk		schelpkalk			zelfstandig naamwoord		1872		leen	Duits			EWB2
musculair		spier-			bijvoeglijk naamwoord		1847		leen	Frans			EWB2
museaal		m.b.t. musea	16. kunst		bijvoeglijk naamwoord		1921-1922	Aanv WNT	leen	Duits			CW 2001
musette		trekharmonica, vroeger doedelzak; heuptas			zelfstandig naamwoord		1650		leen	Frans			EWB2
museum		tentoonstellingsgebouw	9. sociale leven	straat	zelfstandig naamwoord	gebouw	1770	WNT vergruizen	leen	Latijn			CW 2001
musical		zangspel	16. kunst	toneelgenre	zelfstandig naamwoord		1961	Aanv WNT	leen	Engels			CW 2001
musiceren		muziek maken	18. muziek		werkwoord		1644	WNT	leen	Frans			CW 2001
musicus		toonkunstenaar	18. muziek		zelfstandig naamwoord	persoonsaanduiding	1635	WNT	leen	Latijn			CW 2001
muskaat		specerij	6. consumptie	kruiden	zelfstandig naamwoord		1253	CG II1, 346	leen	Frans			CW 2001
muskadel		zoete wijnsoort	6. consumptie	alcoholica	zelfstandig naamwoord		1253	CG II1 Gezondh.	leen	Frans			CW 2001
muskel		spier			zelfstandig naamwoord		1599		leen	Frans			EWB2
musket		ouderwets geweer	14. leger	wapens	zelfstandig naamwoord		1584	De Bruijn Tw. 10	leen	Frans			CW 2001
musketon		ouderwets wapen, zwaarder dan musket	14. leger	wapens	zelfstandig naamwoord		1667	WNT musket	leen	Frans			CW 2001
muskiet		insect	3. dierenrijk	geleedpotigen	zelfstandig naamwoord	dieraanduiding	1630	Van Donselaar Tw. 8	leen	Spaans			CW 2001
muskoviet		mineraal			zelfstandig naamwoord		1950		leen	Engels			EWB2
muskus		sterk riekende stof van mannelijke muskusdieren	19. wetenschap	natuurk. stoffen	zelfstandig naamwoord		1620	De Jonge IV, 241	leen	Latijn			CW 2001
müsli		rauwkostgerecht	6. consumptie	gerechten	zelfstandig naamwoord		1968	WP voor de vrouw	leen	Duits			CW 2001
must		iets dat absoluut moet	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1959	R75	leen	Engels			CW 2001
mustang		paardachtige	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1863	KKU	leen	Engels			CW 2001
mustie		Spaanse kleurling			zelfstandig naamwoord		1863		leen	Engels			EWB2
mustio		zoon van een blanke en een mulattin			zelfstandig naamwoord		1992		leen	Spaans			EWB2
muta		stemloze plofklank			zelfstandig naamwoord		1886		leen	Latijn			EWB2
mutageen		veranderlijk	19. wetenschap		bijvoeglijk naamwoord		1984	GVD	leen	Engels			CW 2001
mutant		door mutatie ontstaan individu	19. wetenschap		zelfstandig naamwoord		1918	WNT afsplitsen	leen	Latijn			CW 2001
mutatie		verandering	12. handel		zelfstandig naamwoord		1523	HWS	leen	Frans			CW 2001
mutatis mutandis					anders				leen	Latijn	mutatis mutandis		Leenwoordenboek 2005
muteren		veranderen	12. handel		werkwoord		1451-1500	MNW	leen	Latijn			CW 2001
mutilatie		verminking	14. leger	oorlog	zelfstandig naamwoord		1650	MEY	leen	Frans			CW 2001
mutileren		verminken	14. leger	oorlog	werkwoord		1650	MEY	leen	Frans			CW 2001
mutineren		oproerig worden			werkwoord		1576		leen	Frans			EWB2
muting		onderdrukken van geruis			zelfstandig naamwoord		1984		leen	Engels			EWB2
mutisme		het stilzwijgen			zelfstandig naamwoord		1859		leen	Frans			EWB2
muts		hoofddeksel	9. sociale leven	hoeden	zelfstandig naamwoord		1373	MNW	leen	Latijn			CW 2001
mutualiteit		wederkerigheid	19. wetenschap		zelfstandig naamwoord		1865	KVW	leen	Frans			CW 2001
mutueel		over en weer	19. wetenschap		bijvoeglijk naamwoord		1542	Aanv WNT	leen	Frans			CW 2001
mutuum		verbruikleen			zelfstandig naamwoord		1832		leen	Latijn			EWB2
muur	1	metselwerk	16. kunst	bouwkunst	zelfstandig naamwoord		0901-1000	WPs	leen	Latijn			CW 2001
muzak		achtergrondmuziek	18. muziek	muzieksoort	zelfstandig naamwoord		1981	Picarta: titel van F. Celis	leen	Engels			CW 2001
muze		zanggodin	8. religie	goden+geesten	zelfstandig naamwoord	persoonsaanduiding	1565	WNT	leen	Latijn			CW 2001
muzelman		moslim	8. religie		zelfstandig naamwoord	persoonsaanduiding	1622	WNT	leen	Frans			CW 2001
muziek		toonkunst	18. muziek		zelfstandig naamwoord		1240	Bern.	leen	Frans			CW 2001
muzikaal					bijvoeglijk naamwoord				leen	Frans	musical		Leenwoordenboek 2005
muzikant		muziekbeoefenaar	18. muziek		zelfstandig naamwoord	persoonsaanduiding	1669	Claes	leen	Frans			CW 2001
my better half					anders				leen	Engels	my better half		Leenwoordenboek 2005
my house is my castle					anders				leen	Engels	my house is my castle		Leenwoordenboek 2005
myalgie		spierpijn			zelfstandig naamwoord		1914		leen	Latijn			EWB2
myasthenie		ziekelijke spierzwakte			zelfstandig naamwoord		1912		leen	Latijn			EWB2
mycelium		zwamvlok	2. plantenrijk	plantendelen	zelfstandig naamwoord		1868	WNT vrucht I	leen	Latijn			CW 2001
mycetes		paddestoelen			zelfstandig naamwoord		1992		leen	Latijn			EWB2
myelitis		ruggenmergsontsteking			zelfstandig naamwoord		1847		leen	Latijn			EWB2
myocarditis		ontsteking van de hartspier			zelfstandig naamwoord		1901		leen	Latijn			EWB2
myoop		bijziend			bijvoeglijk naamwoord		1895		leen	Frans			EWB2
myosotis		vergeet-mij-niet			zelfstandig naamwoord		1847		leen	Latijn			EWB2
myria_x001E_					zelfstandig naamwoord				leen	Frans	myria_x001E_-		Leenwoordenboek 2005
myriade		telwoord: tienduizendtal	20. taalkunde		telwoord		1825	WNT	leen	Frans			CW 2001
myriapoden		duizendpoten			zelfstandig naamwoord		1901		leen	Latijn			EWB2
myringitis		trommelvliesontsteking			zelfstandig naamwoord		1984		leen	Latijn			EWB2
myrobalaan		looistof bevattende vrucht			zelfstandig naamwoord		1608		leen	Frans			EWB2
mystagoog		inwijder in de mysteriën			zelfstandig naamwoord		1802		leen	Latijn			EWB2
mysten		ingewijden			zelfstandig naamwoord		1895		leen	Latijn			EWB2
mysterie		geheim	8. religie		zelfstandig naamwoord		1639	WNT	leen	Latijn			CW 2001
mysterieus		geheimzinnig	8. religie		bijvoeglijk naamwoord		1659-1673	WNT	leen	Frans			CW 2001
mystiek		geheimzinnig	8. religie		bijvoeglijk naamwoord		1780-1781	WNT	leen	Frans			CW 2001
mystificatie		bedriegerij	15. overheid	ambtelijke taal	zelfstandig naamwoord		1868-1872	WNT	leen	Frans			CW 2001
mystisch		mystiek			bijvoeglijk naamwoord		1824		leen	Duits			EWB2
mythe		wereldbeschouwelijke overlevering, fabel	8. religie		zelfstandig naamwoord		1804-1808	WNT	leen	Latijn			CW 2001
mythologie		geheel van de mythen van een volk	19. wetenschap	wetenschapsdisciplines	zelfstandig naamwoord		1777	MEY	leen	Frans			CW 2001
N.B.					anders				leen	Latijn	N.B. = Nota Bene		Leenwoordenboek 2005
N.N.					anders				leen	Latijn	N.N. = Nomen Nescio		Leenwoordenboek 2005
N.S.D.A.P.					zelfstandig naamwoord				leen	Duits	NSDAP		Leenwoordenboek 2005
n’importe					zelfstandig naamwoord				leen	Frans	n’importe		Leenwoordenboek 2005
naaches					zelfstandig naamwoord				leen	Jiddisch	naaches		Leenwoordenboek 2005
naastenliefde		liefde tot de medemens	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1903	WNT naast	leen	Duits			CW 2001
nabob		Indische onderkoning, bestuursambtenaar			zelfstandig naamwoord		1631		leen	Portugees			EWB2
nachleben		het voortleven in de herinnering	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1999	GVD	leen	Duits			CW 2001
nachtclub					zelfstandig naamwoord				leen	Engels	nightclub		Leenwoordenboek 2005
nada		tussenwerpsel: niets	20. taalkunde		tussenwerpsel		1989	De Coster 1999	leen	Spaans			CW 2001
nadir		voetpunt			zelfstandig naamwoord		1654		leen	Frans			EWB2
nadruk		klemtoon	20. taalkunde	overig	zelfstandig naamwoord		1672	Hexham-Manly, Het Groot Woorden-Boek	leen	Duits			CW 2001
nafke		Bargoens: meid			zelfstandig naamwoord		1769		leen	Jiddisch		huidige bet	EWB2
nafta		petroleum	19. wetenschap	natuurk. stoffen	zelfstandig naamwoord		1778	WNT	leen	Latijn			CW 2001
nagana		veeziekte			zelfstandig naamwoord		1950		leen	Bantoe			EWB2
nages		Bargoens: plezier			zelfstandig naamwoord		1937		leen	Jiddisch			EWB2
naïef		argeloos, onnozel	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1698	WNT	leen	Frans			CW 2001
naja		slang			zelfstandig naamwoord		1912		leen	Sanskriet			EWB2
najade		waternimf			zelfstandig naamwoord		1552		leen	Frans			EWB2
nakkedikker		Bargoens: bedrieger, iem. zonder geld			zelfstandig naamwoord		1937		leen	Jiddisch			EWB2
nakken		slaan			werkwoord				leen	Sranantongo	naki		Leenwoordenboek 2005
nalatenschap		erfenisboedel	15. overheid	justitie	zelfstandig naamwoord		1683	WNT	leen	Duits			CW 2001
namaze		Turks bidkleedje			zelfstandig naamwoord		1961		leen	Turks			EWB2
namens		voorzetsel	20. taalkunde		voorzetsel		1829	H. Martin, Beredeneerd Nederduitsch Wrdb.	leen	Duits			CW 2001
Nandi		de stier, die dienaar en rijdier is van Sjiva, epitheton van Sjiva, ook wel van Visjnoe			zelfstandig naamwoord		1937		leen	Sanskriet			EWB2
nandoe		loopvogel	3. dierenrijk	vogels	zelfstandig naamwoord	dieraanduiding wild	1863	KKU	leen	Spaans			CW 2001
nangka		zuurzak			zelfstandig naamwoord		1781		leen	Maleis			EWB2
nansoek		weefsel			zelfstandig naamwoord		1863		leen	Frans			EWB2
napalm		vulling van brandbom	14. leger	wapens	zelfstandig naamwoord		1951	Aanv WNT	leen	Engels			CW 2001
napkin		tafellaken			zelfstandig naamwoord		1950		leen	Engels			EWB2
Napolitaans		van Napels			bijvoeglijk naamwoord		1618		leen	Frans			EWB2
napolitain		voor diverse producten van Napels			bijvoeglijk naamwoord		1865		leen	Frans			EWB2
nappa		nappaleer	9. sociale leven	stofnamen	zelfstandig naamwoord		1943	Sanders 1995	leen	Engels			CW 2001
napperon		dekservet			zelfstandig naamwoord		1992		leen	Frans			EWB2
nar		zot	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1432-1468	MNW	leen	Duits			CW 2001
narcis		sierplant	2. plantenrijk	planten	zelfstandig naamwoord		1553	Claes	leen	Latijn			CW 2001
narcisme		liefde voor zichzelf	19. wetenschap	medisch	zelfstandig naamwoord		1933	Aanv WNT	leen	Duits			CW 2001
Narcissus					zelfstandig naamwoord				leen	Latijn	Narcissus		Leenwoordenboek 2005
narcolepsie		onweerstaanbare slaapneiging			zelfstandig naamwoord		1914		leen	Frans			EWB2
narcose		verdoving	19. wetenschap	medische behandeling	zelfstandig naamwoord		1898	GVD	leen	Frans		huidige vorm	CW 2001
narcoticum		bedwelmend middel	19. wetenschap	geneesmiddelen	zelfstandig naamwoord		1624	WNT vomitorium	leen	Latijn			CW 2001
nardus		plant	2. plantenrijk	planten	zelfstandig naamwoord		1530	WNT	leen	Latijn			CW 2001
nargileh		waterpijp			zelfstandig naamwoord		1863		leen	Turks			EWB2
narratief		verhalend			bijvoeglijk naamwoord		1777		leen	Frans			EWB2
narthex		voorhal van kerk			zelfstandig naamwoord		1912		leen	Latijn			EWB2
narwal		walvisachtige	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1660	Schierbeek, Schouwburg der dieren 98	leen	Noors			CW 2001
nasaal		neus-	20. taalkunde	overig	zelfstandig naamwoord		1832	WEI	leen	Frans			CW 2001
nasi		gekookte rijst	6. consumptie	gerechten	zelfstandig naamwoord		1827	Olivier, Land- en zeetogten in Nederland's Indië, 40a	leen	Maleis			CW 2001
nasi goreng					zelfstandig naamwoord				leen	Maleis	nasi goreng		Leenwoordenboek 2005
nasi rames		rijstgerecht	6. consumptie	gerechten	zelfstandig naamwoord		1992	GVD	leen	Maleis			CW 2001
nasjen		eten			werkwoord		1915		leen	Duits			EWB2
naslagwerk		boek om dingen in op te zoeken	17. letterkunde	uitgeven	zelfstandig naamwoord		1846	WNT werk	leen	Duits			CW 2001
nassen, nasjen					anders				leen	Jiddisch	naschen		Leenwoordenboek 2005
nastie		krommingsbeweging van planten			zelfstandig naamwoord		1950		leen	Duits			EWB2
nasturtium		waterkers			zelfstandig naamwoord		1608		leen	Latijn			EWB2
nataal		geboorte-			bijvoeglijk naamwoord		1863		leen	Latijn			EWB2
nataliteit		geboortecijfer			zelfstandig naamwoord		1970		leen	Frans			EWB2
Nathanaël		oprecht iemand			zelfstandig naamwoord		1875		leen	Latijn			EWB2
natie		volk	15. overheid		zelfstandig naamwoord		1408	MNW	leen	Frans			CW 2001
natief		geboortig, naturel			bijvoeglijk naamwoord		1669		leen	Frans			EWB2
nationaal		volks-, staats-	19. wetenschap	geografie	bijvoeglijk naamwoord		1619	WNT	leen	Frans			CW 2001
nationaliteit		het behoren tot een bepaalde natie	19. wetenschap	geografie	zelfstandig naamwoord		1829	H. Martin, Beredeneerd Nederduitsch Wrdb.	leen	Frans			CW 2001
native speaker					zelfstandig naamwoord				leen	Engels	native speaker		Leenwoordenboek 2005
nativiteit		geboortecijfer			zelfstandig naamwoord		1654		leen	Frans			EWB2
NATO					zelfstandig naamwoord				leen	Engels	NATO		Leenwoordenboek 2005
natrium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1846	WNT wonderzout	leen	Latijn			CW 2001
natron		soda			zelfstandig naamwoord		1780		leen	Frans			EWB2
natté		stof in panamabinding			zelfstandig naamwoord		1950		leen	Frans			EWB2
naturaliën		zeldzame natuurvoortbrengselen			zelfstandig naamwoord		1784-1785		leen	Duits			EWB2
naturaliseren		opnemen als staatsburger	15. overheid	justitie	werkwoord		1597	WNT	leen	Frans			CW 2001
naturalisme		letterkundige stroming	16. kunst	stijl	zelfstandig naamwoord		1884	WNT winkel I	leen	Frans			CW 2001
naturel		natuurlijk	5. zintuiglijkheden	smaak	bijvoeglijk naamwoord		1580	WNT	leen	Frans			CW 2001
natuur	a	aangeboren neiging	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1201-1225	CG II1 Floyris	leen	Frans			CW 2001
natuurbeschrijving					zelfstandig naamwoord				leen	Duits	Naturbeschreibung		Leenwoordenboek 2005
natuurverschijnsel					zelfstandig naamwoord				leen	Duits	Naturerscheinung		Leenwoordenboek 2005
naumachie		scheepsgevecht			zelfstandig naamwoord		1832		leen	Latijn			EWB2
nauplius		larve van schaaldier			zelfstandig naamwoord		1910		leen	Latijn			EWB2
nautilus		poliepslak			zelfstandig naamwoord		1671		leen	Latijn			EWB2
nautisch		scheepvaart-	11. scheepvaart		bijvoeglijk naamwoord		1824	WEI	leen	Latijn			CW 2001
navaal		scheepvaart-			bijvoeglijk naamwoord		1636		leen	Frans			EWB2
navenant					bijwoord				leen	Frans	à l’avenant		Leenwoordenboek 2005
navicert		scheepsdocument voor non-belligerent			zelfstandig naamwoord		1968		leen	Engels			EWB2
navigabel		bevaarbaar			bijvoeglijk naamwoord		1636		leen	Frans			EWB2
navigatie		scheepvaart	11. scheepvaart		zelfstandig naamwoord		1549	WNT	leen	Frans			CW 2001
navigeren		een schip vakkundig besturen	11. scheepvaart		werkwoord		1613	WNT	leen	Frans			CW 2001
navrant		hartverscheurend	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1847	KKU	leen	Frans			CW 2001
Nazareth					zelfstandig naamwoord				leen	Latijn	Nazareth		Leenwoordenboek 2005
nazi		nationaal-socialist	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1930	Toll.	leen	Duits			CW 2001
nazireeër		Israëliet die bepaalde onthoudingsgeloften heeft gedaan			zelfstandig naamwoord		1637		leen	Latijn			EWB2
Neanderthaler		een uitgestorven mensenras	HOM	PER	zelfstandig naamwoord		1922		leen	Duits			EWB2
nebbisj		tussenwerpsel: uitroep van medelijden	20. taalkunde		tussenwerpsel		1950	GVD	leen	Jiddisch			CW 2001
nebuleus		nevelachtig			bijvoeglijk naamwoord		1650		leen	Frans			EWB2
nebulium		chemisch element waarnaar vergeefs werd gezocht	19. wetenschap	chem. elementen	zelfstandig naamwoord		1924	GVD	leen	Latijn			CW 2001
nec plus ultra					anders				leen	Latijn	nec plus ultra		Leenwoordenboek 2005
necessaire		reisetui	9. sociale leven	hygiëne	zelfstandig naamwoord		1650	MEY	leen	Frans			CW 2001
necessiteit		noodzakelijkheid			zelfstandig naamwoord		1650		leen	Frans			EWB2
necrologie		lijkrede	21. communicatie	mondeling	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
necromantie		dodenbezwering			zelfstandig naamwoord		1824		leen	Frans			EWB2
necropolis		dodenstad	sociale leven	straat	zelfstandig naamwoord		1847		leen	Grieks			EWB2
necrose		weefselversterving	19. wetenschap	kwalen	zelfstandig naamwoord		1904-1905	WNT long: necrosebacillen	leen	Frans		huidige vorm; met ander herkomst	CW 2001
nectar		godendrank	6. consumptie	dranken	zelfstandig naamwoord		1579	WNT	leen	Frans			CW 2001
nectarine		soort van perzik	2. plantenrijk	vruchten	zelfstandig naamwoord		1800	WNT voorleden I	leen	Engels			CW 2001
nederig		ootmoedig	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1562	WNT	leen	Duits			CW 2001
nederlaag		het overwonnen worden	14. leger	oorlog	zelfstandig naamwoord		1425	MNW	leen	Duits			CW 2001
nefast		verderfelijk	mensenwereld	eigenschappen	bijvoeglijk naamwoord		1984		leen	Frans			EWB2
nefelien		steensoort			zelfstandig naamwoord		1847		leen	Frans			EWB2
nefritis		nierontsteking			zelfstandig naamwoord		1824		leen	Latijn			EWB2
negatie		ontkenning	20. taalkunde	overig	zelfstandig naamwoord		1824	WEI	leen	Frans			CW 2001
negatief	a	ontkennend	21. communicatie	mondeling	bijvoeglijk naamwoord		1480	HWS	leen	Frans			CW 2001
negatief	b	lichtbeeld waarin licht en donker omgedraaid zijn	16. kunst	beeldende kunst	zelfstandig naamwoord		1855	WNT positief IV	leen	Engels			CW 2001
neger		zwarte	4. mensenwereld	ras+land	zelfstandig naamwoord	persoonsaanduiding	1644	Van Donselaar Woordenaar 1, 1	leen	Spaans			CW 2001
negeren		doen of iets of iem. niet bestaat	4. mensenwereld		werkwoord		1864	WNT	leen	Latijn		huidige bet	CW 2001
negeret		pluk pruimtabak			zelfstandig naamwoord		1912		leen	Engels			EWB2
negerij					zelfstandig naamwoord				leen	Maleis	negeri		Leenwoordenboek 2005
negligé		ochtendkleding	9. sociale leven	kleding	zelfstandig naamwoord		1784-1785	WNT	leen	Frans			CW 2001
negligent		slordig			bijvoeglijk naamwoord		1467-1490		leen	Frans			EWB2
negligentie		veronachtzaming			zelfstandig naamwoord		1370-1378		leen	Frans			EWB2
negligeren		verzuimen	15. overheid	ambtelijke taal	werkwoord		1650	MEY	leen	Frans			CW 2001
negorij		gehucht	19. wetenschap	geografie	zelfstandig naamwoord		1888	WNT	leen	Maleis		huidige bet	CW 2001
negotiant		handelaar			zelfstandig naamwoord		1617		leen	Frans			EWB2
negotiatie		koophandel, geldlening, onderhandeling			zelfstandig naamwoord		1523		leen	Frans			EWB2
negotie		handel	12. handel		zelfstandig naamwoord		1520	HWS	leen	Latijn			CW 2001
negotiëren		onderhandelen	12. handel		werkwoord		1627	WNT negotie	leen	Frans			CW 2001
nègre		ghostwriter			zelfstandig naamwoord		1992		leen	Frans			EWB2
negrillen		pygmoïden			zelfstandig naamwoord		1847		leen	Spaans			EWB2
negrito		pygmee			zelfstandig naamwoord		1863		leen	Spaans			EWB2
negro_x001E_spiritual					zelfstandig naamwoord				leen	Engels	Negro spiritual		Leenwoordenboek 2005
negrospirituals		geestelijke liederen van Amerikaanse negers	18. muziek	muzieksoort	zelfstandig naamwoord		1950	GVD	leen	Engels			CW 2001
negus	1	Ethiopische keizerstitel	15. overheid	titels	zelfstandig naamwoord	persoonsaanduiding	1832	WEI	leen	Amhaars			CW 2001
nehrung		strandwal			zelfstandig naamwoord		1912		leen	Duits			EWB2
neiging		voorkeur			zelfstandig naamwoord				leen	Duits	Neigung		Leenwoordenboek 2005
nekeiwe		Bargoens: vrouw			zelfstandig naamwoord		1906		leen	Jiddisch			EWB2
nekton		zichzelf voortbewegende waterfauna			zelfstandig naamwoord		1912		leen	Duits			EWB2
nel		troef	22. sport+spel	kaartspel	zelfstandig naamwoord		1829	H. Martin, Beredeneerd Nederduitsch Wrdb.	leen	Frans			CW 2001
nelson		worstelgreep	22. sport+spel		zelfstandig naamwoord		1968	KWT	leen	Engels			CW 2001
Nemesis		godin van de wraak			zelfstandig naamwoord		1824		leen	Grieks			EWB2
nenia		treurdicht			zelfstandig naamwoord		1867		leen	Latijn			EWB2
neodymium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1912	KKU	leen	Latijn			CW 2001
neofiet		nieuwbekeerde	8. religie		zelfstandig naamwoord	persoonsaanduiding	1819	Aanv WNT	leen	Latijn			CW 2001
Neogeen		benaming voor Mioceen + Plioceen			zelfstandig naamwoord		1898		leen	Duits			EWB2
Neolithicum		geologische periode	7. tijd		zelfstandig naamwoord		1925	Aanv WNT	leen	Latijn			CW 2001
neologisme		nieuw gevormd woord	20. taalkunde	overig	zelfstandig naamwoord		1813	Agron en Landré, Nederduitsch-Fransch, iv	leen	Frans			CW 2001
neon		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1901	KUI	leen	Latijn			CW 2001
neonazi		aanhanger van modern nationaal-socialisme	15. overheid		zelfstandig naamwoord	persoonsaanduiding	1979	Wijnands&Ost	leen	Duits			CW 2001
Neozoïcum		geologische periode	7. tijd		zelfstandig naamwoord		1933	Reinders, Leerboek der Plantkunde, II, 126	leen	Latijn			CW 2001
nep		Bargoens: bedrog	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1927	MOO	leen	Duits			CW 2001
nepent		pijnstillend middel			zelfstandig naamwoord		1560		leen	Latijn			EWB2
nepotisme		begunstiging van familieleden met baantjes en goederen	15. overheid	systeem	zelfstandig naamwoord		1659-1673	WNT	leen	Frans			CW 2001
neppe		kattenkruid			zelfstandig naamwoord		1460		leen	Latijn			EWB2
nepschore		goederen afkomstig van oplichting			zelfstandig naamwoord		1906		leen	Duits			EWB2
neptunium		chemisch element	19. wetenschap	chem. elementen	zelfstandig naamwoord		1947	Holleman, Leerboek der organische chemie 510	leen	Latijn			CW 2001
nerd		onhandige, saaie jongen 	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1994	De Coster 1999	leen	Engels			CW 2001
nereïde		waternimf			zelfstandig naamwoord		1824		leen	Frans			EWB2
nerf	2	zenuw	4. mensenwereld	lichaamsdelen	zelfstandig naamwoord		1850	Toll.	leen	Frans			CW 2001
nerine		bolgewas			zelfstandig naamwoord		1974		leen	Latijn			EWB2
nero		wreedaard	4. mensenwereld	negatief	zelfstandig naamwoord	persoonsaanduiding	1784-1785	WNT	leen	Latijn			CW 2001
neroli		olie uit oranjebloesem			zelfstandig naamwoord		1832		leen	Frans			EWB2
nerts		marterachtige	3. dierenrijk	zoogdieren	zelfstandig naamwoord	dieraanduiding wild	1909-1910	Aanv WNT	leen	Duits			CW 2001
nervaal		zenuw-			bijvoeglijk naamwoord		1961		leen	Frans			EWB2
nerveus		zenuwachtig	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1844	WNT typheus	leen	Frans			CW 2001
nervositeit		zenuwachtigheid	4. mensenwereld	eigenschappen	zelfstandig naamwoord		1847	KKU	leen	Frans			CW 2001
nestor					zelfstandig naamwoord				leen	Latijn	Nestor		Leenwoordenboek 2005
net	2	keurig	4. mensenwereld	eigenschappen	bijvoeglijk naamwoord		1456	HWS	leen	Frans			CW 2001
netiquette		richtlijnen en gedragsregels voor het gebruik van het internet; etiquette op internet. Het woord is samengesteld uit net- (uit internet) en -iquette (uit etiquette).			zelfstandig naamwoord		21e eeuw		leen	Engels			Internetwoordenboekje INT 2018
netsuke		gordelknoop	9. sociale leven	kleding	zelfstandig naamwoord		1912	KKU	leen	Japans			CW 2001
nettiquette		gedragscode voor het gebruik van e-mail en internet	21. communicatie	ICT	zelfstandig naamwoord		1993	NRC-H 25/3/93, 6	leen	Engels			CW 2001
netto		bijwoord: na aftrek van kosten	12. handel		bijwoord		1567	Kool	leen	Italiaans			CW 2001
netwerk		ook computernetwerk, geheel van met elkaar verbonden computers die gezamenlijk één server hebben.			zelfstandig naamwoord		21e eeuw		leen	Engels			Internetwoordenboekje INT 2018
neulen		zeuren			werkwoord		1887		leen	Nederduits			EWB2
neum		melodienotatie			zelfstandig naamwoord		1847		leen	Frans			EWB2
